Object Tracking Data File Tue, Nov 24, 2020 11:49 AM
X (pixels)  	Y (pixels)  
474.41	315.91
471.56	315.06
471.84	310.23
469.69	312.92
479.80	311.29
479.95	318.62
480.18	315.21
483.48	315.39
439.10	310.93
451.73	309.64
467.74	309.55
480.68	308.78
480.15	314.14
478.24	318.06
480.30	314.29
482.40	307.69
487.55	300.28
485.75	298.71
482.52	297.77
480.54	299.37
483.56	294.26
484.07	291.30
478.54	287.56
478.02	280.00
471.93	279.35
469.12	276.88
470.17	285.10
471.68	290.32
465.50	280.60
465.20	272.77
463.78	276.47
470.41	282.87
467.86	295.46
467.50	303.78
462.86	307.72
458.13	309.99
453.20	310.12
455.08	315.18
452.64	318.03
450.98	317.20
450.83	315.68
445.47	317.78
443.70	315.47
444.21	316.57
444.35	318.97
439.12	324.29
437.89	327.43
438.14	330.73
440.07	330.23
425.88	280.76
420.96	294.73
424.27	291.28
428.86	318.08
426.85	254.58
421.21	295.78
428.33	322.89
425.67	311.16
419.82	299.91
418.95	327.78
416.72	336.62
412.60	339.72
412.63	338.40
385.82	300.06
398.34	312.19
400.78	280.94
403.94	279.90
408.82	309.63
409.45	341.32
412.41	321.20
414.89	323.23
419.01	320.52
417.95	317.32
415.44	323.31
418.67	319.47
422.25	322.41
420.68	325.54
420.46	322.18
419.10	322.17
416.66	323.94
420.62	324.10
419.10	321.64
415.76	325.13
412.86	326.71
414.36	328.83
416.12	331.64
417.40	326.66
417.47	324.19
413.55	326.98
413.95	326.69
415.11	318.31
412.10	319.30
402.90	327.66
401.72	323.34
396.45	326.70
399.95	327.06
400.18	323.62
405.58	324.77
411.15	320.54
409.65	320.89
372.98	276.54
387.91	289.97
398.92	315.66
400.95	324.46
403.45	329.71
404.17	331.50
400.87	334.55
399.91	331.88
400.75	335.98
395.15	340.54
391.77	346.00
392.32	350.19
398.77	351.46
401.30	350.76
400.42	349.14
399.81	351.20
401.01	353.79
401.15	355.03
398.18	356.69
396.65	353.71
394.00	353.74
