Object Tracking Data File Tue, Nov 24, 2020 11:52 AM
X (pixels)  	Y (pixels)  
427.48	230.53
426.48	230.54
425.50	230.52
424.47	230.54
423.47	230.54
422.45	230.55
421.47	230.54
420.47	230.55
419.46	230.55
418.47	230.55
417.47	230.54
416.47	230.54
415.48	230.53
414.49	230.53
413.47	230.54
412.48	230.53
411.48	230.54
410.49	230.52
409.48	230.54
408.48	230.54
407.47	230.54
406.49	230.53
405.48	230.53
404.49	230.52
403.48	230.55
402.49	230.53
401.49	230.53
400.49	230.54
399.51	230.51
399.48	230.55
398.48	230.55
397.49	230.53
396.48	230.55
395.47	230.54
394.49	230.55
393.49	230.54
392.49	230.52
391.49	230.53
390.50	230.54
390.48	230.53
389.47	230.54
388.46	230.56
387.49	230.54
386.49	230.53
385.49	230.53
384.50	230.51
384.49	230.52
383.49	230.53
382.48	230.53
381.49	230.50
380.49	230.52
379.50	230.52
378.50	230.52
377.50	230.53
376.49	230.52
375.51	230.51
375.46	230.55
374.48	230.52
373.50	230.51
372.49	230.52
371.50	230.51
371.47	230.53
370.47	230.53
369.49	230.51
368.49	230.51
367.49	230.52
366.48	230.52
365.49	230.53
364.49	230.52
363.50	230.52
362.48	230.53
361.45	230.53
360.47	230.52
359.44	230.52
358.45	230.49
357.47	229.48
356.48	228.51
355.47	228.46
354.48	227.49
353.48	226.49
352.48	225.52
351.46	225.49
350.47	224.49
349.48	223.49
348.49	222.49
347.50	221.49
346.49	220.48
345.49	219.53
344.48	219.50
343.49	219.50
342.48	218.50
341.43	218.48
340.43	217.53
339.48	217.50
338.49	217.48
337.47	216.49
336.45	215.50
335.45	214.51
334.48	214.56
333.41	214.45
332.47	213.50
331.44	213.50
330.47	213.49
329.48	212.50
328.49	212.51
327.45	212.49
326.44	211.49
325.46	210.48
324.48	209.50
323.45	209.49
322.44	208.48
321.45	207.46
320.46	206.48
319.47	205.48
318.48	204.52
317.44	204.44
316.47	203.46
315.43	202.43
314.48	201.49
313.45	200.45
